"","Proposal.No.","File.No.","Project.Name","Company","Proposal.Status","Project.Type","View"
"2465","SIA/OR/MIN/37831/2016","SEIAA/37831/1052-NCM/01-2016","Gambharidihi Sand Quarry Over lease area of 14.26 acres/5.771 ha located at Village- Gambharidihi, Tahasil- Nayagarh, District- Nayagarh.","NIRANJAN SWAIN","Delisted","EC",NA
"2466","SIA/OR/IND2/23238/2018","23238/339-IND2/03-2018","810 LITRES DAILY PRODUCTION CAPACITY MAHUA FLOWER BASED NISHANPUR MAIN  O S SHOP","DURGA PRASAD SAHU","EC Granted","EC",NA
"2467","SIA/OR/MIN/74882/2018","74882/1981-NCM/05-2018","PAITARY STONE QUARRY","SRI MANAMOHAN MAHARANA","EC Granted","EC",NA
"2468","SIA/OR/IND2/24081/2018","24081/373-IND2/04-2018","Gurkhapala O.S. Shop","BHOLANATH SAHOO","EC Granted","EC",NA
"2469","SIA/OR/MIN/71163/2017","71163/1931-NCM/11-2017","AMBAPALI ZEERA RIVER SAND BED - D","SAPAN KUMAR DASH","Delisted","EC",NA
"2470","SIA/OR/MIN/403909/2022","403909/1204-MINB2/01-2023","Proposal for Fresh EC of Nuapada Mahanadi Patha Sand Quarry over an area of 16.55 Acres or 6.69 Ha having Khata No.324, Plot No. 266 in village Nuapada under Raghunathpur Tahasil of Jagatsinghpur District, Odisha.","SAUBHAGYA JENA","EC Granted","EC",NA
"2471","SIA/OR/MIN/421419/2023","421419/895-MINB2/03-2023","Proposal for EC of Khutubai Stone Quarry over an area of 10.38 Acres or 4.20 Ha at village-Khutubai, Tahasil-Papadahandi, Dist-Nabarangpur, Odisha of Sri Bidyadhar Mallick","BIDYADHAR MALLICK","Under examination of SEAC","EC",NA
"2472","SIA/OR/INFRA2/423008/2023","423008/111-INFRA2/04-2023","Commercial Cum Residential Apartment Building  Project","AM SB INFRA PRIVATE LIMITED","Agenda Uploaded by SEAC","EC",NA
"2473","SIA/OR/MIN/73059/2018","","Jharbeni Sand Bed","SANGRAM ROUT","Delisted","EC",NA
"2474","SIA/OR/MIS/30287/2017","30287/02-MIS/07-2019","Integrated Municipal Solid waste Management facility project at village Bhitargarh, Tehsil Kujanag, Distt. Jagatsinghpur, Odisha","PARADEEP MUNICIPALITY","Delisted","EC",NA
"2475","SIA/OR/IND2/23267/2018","23267/347-IND2/04-2018","PRODUCTION OF0.810KLD MAHUA FLOWER BASED COUNTRY LIQUOR MANUFACTURE UNIT, TUNDUMAL MAIN O S LIQUOR SHOP AT SINDURPUR, DIST. BOUDH","ASHISH KUMAR SAHU","EC Granted","EC",NA
"2476","SIA/OR/MIN/65245/2017","65245/1870-NCM/06-2017","PURUTIGUDA SAND BED","BABULA SAHUKARA","EC Granted","EC",NA
"2477","SIA/OR/MIN/407065/2022","407065/848-MINB2/01-2023","Dhaudapadar Stone Quarry over an area of 5.00 acres or 2.023 hectares bearing Khata no. 22, Plot no. 165 in Dhaudapadar village of Koraput Tahasil, District Koraput, State Odisha.","TAHASILDAR KORAPUT","Delisted","EC",NA
"2478","SIA/OR/RIV/3931/2010","3931/01-RIV/11-2015","Karapani Irrigation Project","CHIEF ENGINEER","Delisted","EC",NA
"2479","SIA/OR/MIN/40954/2016","40954/1140-NCM/01-2016","KUSAKELA DECORATIVE STONE","MS R K INDUSTRIES","Delisted","EC",NA
"2480","SIA/OR/IND2/17094/2015","17094/13-IND2/08-2016","SIA/OR/IND2/10942/2016","CHILIKA DISTILLERIES PRIVATE LIMITED","EC Granted - Processed offline","EC",NA
"2481","SIA/OR/MIN/400364/2022","","NEW PROPOSAL FOR ENVIRONMENT CLEARANCE FOR BABUCHAKULI STONE QUARRY OVER AN AREA OF 4.071 HECTARE OR  10.06 ACRES IN VILLAGE BABUCHAKULI  UNDER RENGALI TAHASIL AND DISTRICT OF SAMBALPUR ODISHA","PRADEEP AGRAWAL","Pending at PP due to eds","EC",NA
"2482","SIA/OR/IND2/16863/2015","16863/12-IND2/07-2016","","BHARAT PETROLEUM CORPORATION LIMITED SOMNATHPUR","EC Granted - Processed offline","EC",NA
"2483","SIA/OR/MIN/18774/2016","18774/04-NCMB1/03-2017","Kasaba-Dahapada Sand Mine","KARUNAKARA DAS","EC Granted","EC",NA
"2484","SIA/OR/IND2/23160/2018","23160/319-IND2/03-2018","Sonepur O S Shop","UMA SANKAR PRASAD","EC Granted","EC",NA
"2485","SIA/OR/MIN/50692/2016","50692/1577-NCM/04-2016","Bhatakumarada Stone Quarry-E Over lease area of 13.00 acres located at Village- Bhatakumarada, Tahasil- Purushottampur, District- Ganjam","RAMESH CHANDRA SAHU","EC Granted","EC",NA
"2486","SIA/OR/MIN/413892/2023","413892/881-MINB2/03-2023","Proposal for Fresh EC of Patpur Brick Earth Quarry over an area of 1.05 Acres or 0.424 ha at village-Patpur, Tahasil-Udala, District-Mayurbhanj, Odisha","Sri Indraranjan Sahu","Under examination of SEAC","EC",NA
"2487","SIA/OR/IND2/29072/2018","29072/546-IND2/09-2018","Production of 1.89 KLD Mahua Flower Based Country Liquor Manufacturing Unit,  Kulgi Main Out Still Shop at Kulgi Village, Tehsil-Bahalda , Dist –Mayurbhanj, Odisha","MANMATH KUMAR BINDHANI","EC Granted","EC",NA
"2488","SIA/OR/IND2/23232/2018","23232/337-IND2/03-2018","810 LITRES DAILY PRODUCTION CAPACITY MAHUA FLOWER BASED HATIKHOJ MAIN  O S SHOP","DURGA PRASAD SAHU","EC Granted","EC",NA
"2489","SIA/OR/MIN/403835/2022","403835/819-MINB2/11-2022","Bamanposi Stone Quarry over an area of 1.540 acres or 0.623 hectares in village Bamanposi under Raruan Tahasil of Mayurbhanj District of Odisha.","SATYA ROUT","ADS by SEAC","EC",NA
"2490","SIA/OR/MIN/53072/2016","53072/1625-NCM/04-2016","RAMBEDA SAND BED","NARASING MAJHI","EC Granted","EC",NA
"2491","SIA/OR/MIN/50813/2016","50813/1538-NCM/03-2016","Dangarpada River Sand Quarry Over lease area of 12.76 acres/5.163 ha located at Village- Dangarpada, Tahasil- Jujomura, District- Sambalpur","PRAFULLA KUMAR MAGAR","EC Granted - Processed offline","EC",NA
"2492","SIA/OR/MIN/402524/2022","402524/870-MINB2/02-2023","NEW PROPOSAL FOR GRANT OF EC FOR JAMUNALI STONE QUARRY OVER 1.764 HA. OR 4.36 ACRES IN VILLAGE JAMUNALI UNDER KISHORENAGAR TAHASIL OF ANUGUL DISTRICT ODISHA","OFFICE OF TAHASILDAR KISHORENAGAR","ADS by SEAC","EC",NA
"2493","SIA/OR/IND2/26158/2018","26158/418-IND2/05-2018","TULASIPOSI OUT STILL LIQUOR MAIN SHOP","PRAKASH KUMAR SAHOO","EC Granted","EC",NA
"2494","SIA/OR/IND2/21777/2018","21777/108-IND2/01-2018","1820 LITRES DAILY PRODUCTION CAPACITY MAHUA FLOWER BASED RANMAL OS SHOP","SRI JAGDISH PRASAD","EC Granted","EC",NA
"2495","SIA/OR/IND2/22465/2018","22465/224-IND2/03-2018","Naktiduel O.S. Shop","DHIRENDRA SAHU","EC Granted","EC",NA
"2496","SIA/OR/IND2/21931/2018","21931/167-IND2/02-2018","Production of 0.54 KLD Mahua Flower Based Country Liquor Manufacturing Unit, Sanpitamal Main Out Still Shop at Sanpitamal, Tahasil- M.Rampur, Dist-Kalahandi","AMAN RAJ","EC Granted","EC",NA
"2497","SIA/OR/IND2/72552/2018","","PADHANPALI O.S. SHOP","PRASANT KUMAR SAHU","Delisted","EC",NA
"2498","SIA/OR/MIN/404551/2022","404551/852-MINB2/12-2022","Heruguda Sand Bed over an area of 12.355 acres or 5.00 hectares bearing Khata No. 150, Plot No. 212, 211, 214, 70 & 69, in the village Heruguda under Tahasil Kundra,District Koraput, State Odisha.","RAJESH JAIN","Deferred by SEAC","EC",NA
"2499","SIA/OR/MIN/64060/2017","64060/1835-NCM/04-2017","Bhatakumarada Stone Quarry","SRI JAGADISH PADHY","Delisted","EC",NA
"2500","SIA/OR/MIN/35474/2015","SEIAA/35474/960-NCM/12-2015","SUKHUAPATA STONE QUARRY NO. 5","SANJAY KUMAR PUHAN","Delisted","EC",NA
"2501","SIA/OR/MIN/423787/2023","423787/325-MINB1/03-2023","ENVIRONMENT CLEARANCE OF KAPILASH SAND QUARRY, OVER AN AREA OF 13.635 ACRE./5.518 HA. AT VILLAGE - KAPILASH, TAHASIL - DHARAKOTE, DISTRICT-GANJAM, ODISHA","CHIRANJIBI DASH","Under examination of SEAC","EC",NA
"2502","SIA/OR/MIN/58890/2016","58890/1705-NCM/09-2016","Badapada Road Metal Quarry Over lease area of 45.770 acres/18.5231 ha located at Village- Badapada, Tahasil- Bellaguntha, District- Ganjam","BIRANCHI NAYAK","EC Granted","EC",NA
"2503","SIA/OR/MIN/423514/2023","423514/908-MINB2/03-2023","APPLICATION FOR FRESH ENVIRONMENTAL CLEARANCE FOR DANKARI BLACK STONE QUARRY NO-5 OVER AN AREA 15.00 AC OR 6.07 HA  IN VILLAGE DANKARI UNDER DHARMASALA TAHSIL OF JAJPUR DISTRICT OF ODISHA","AGNIBESH SWAIN","EC Granted","EC",NA
"2504","SIA/OR/MIN/71732/2017","71732/1940-NCM/12-2017","DUMERDIHI SAND QUARRY","GURUBAKHS SINGH GANDHI","EC Granted","EC",NA
"2505","SIA/OR/IND2/21903/2018","21903/146-IND2/02-2018","1080 LITRES DAILY PRODUCTION CAPACITY MAHUA FLOWER BASED PASTIPADA OS SHOP","LAXMI NARAYAN MANMOHNLAL","EC Granted","EC",NA
"2506","SIA/OR/MIN/64097/2017","64097/1837-NCM/04-2017","Mamuriasahi Sand Quarry","LINGARAJ SWAIN","Delisted","EC",NA
"2507","SIA/OR/MIN/37818/2016","SEIAA/37818/1044-NCM/12-2015","Jhadankuli Road Metal Quarry Over lease area of 4.340 acre/1.756 Ha located at Village- Jhadankuli, Tahasil- Konisi, District- Ganjam.","PRAKASH CHANDRA SAHU","EC Granted - Processed offline","EC",NA
"2508","SIA/OR/IND1/404248/2022","404248/34-IND1/11-2022","Proposed Iron and Manganese ore beneficiation Plant with 0.48 mtpa throughput capacity at vill Patamunda, Tahasil Koida, Sundergarh District Odisha of M/s Lavanyabati Minerals Private Limited","LAVANYABTI MINERALS PRIVATE LIMITED","Delisted","EC",NA
"2509","SIA/OR/MIN/405154/2022","405154/306-MINB1/11-2022","Alipingal-Adhanga Devi Nadi Sand Quarry over an area of 22.06 acres or 8.93 hectare at Village- Alipingal- Adhanga, Tahasil- Jagatsinghpur, District- Jagatsinghpur","SUBASH ROUT","Delisted","EC",NA
"2510","SIA/OR/MIN/42350/2016","42350/1282-NCM/01-2016","Dobalapal Sand Mine, Dobalapal Over lease area of 12.720 acres/5.148 ha located at Village- Dobalapal, Tahasil- Telkoi, District- Keonjhar","KUNA SAHU","EC Granted - Processed offline","EC",NA
"2511","SIA/OR/IND2/25911/2018","25911/389-IND2/04-2018","Khaliapali O.S. Shop","ANIL KUMAR SAHU AND RAM MURTY PRASAD","EC Granted","EC",NA
"2512","SIA/OR/MIN/419148/2023","419148/1501-MINB1/02-2023","Kudubadi Pahad Decorative Stone Deposit over 38.077 ha in village Kudubadi Pahad under Daspalla Tahsil in Nayagarh district, Odisha. of M/s SGS Mines & Industries Pvt. Ltd.","SGS MINES & INDUSTRIES PRIVATE LIMITED","ADS by SEAC","EC",NA
"2513","SIA/OR/MIN/19643/2017","19643/1884-NCM/06-2017","Bhagatpur Sand Quarry","RASULPUR TAHASILDAR","EC Granted","EC",NA
"2514","SIA/OR/MIN/38072/2016","SEIAA/38072/1070-NCM/01-2016","BUDHABALANGA SAND BED-II","JOGENDRA DALEI","Delisted","EC",NA
"2515","SIA/OR/IND2/21895/2018","21895/139-IND2/02-2018","PRODUCTION OF 0.810 KLD MAHUA FLOWER BASED COUNTRY LIQUOR MANUFACTURE UNIT, KHAPRAKHOL MAIN O S LIQUOR SHOP AT- KHAPRAKHOL, DIST. BALANGIR","RAM NIWAS AGRAWAL","EC Granted","EC",NA
"2516","SIA/OR/MIN/270600/2022","270600/718-MINB2/04-2022","Proposal for Fresh EC of Ghodamaraghat Sand Quarry over an area of 12.00 Acres or 4.86Ha at Village-Kaintragarh, Tahasil-Athamallik, Dist-Anugul, Odisha of Tahasildar, Athamallik","TAHASILDAR, ATHAMALLIK","EC Granted","EC",NA
"2517","SIA/OR/MIN/291404/2022","","Proposal for grant of Environmental Clearance for Maranpalli Sand Bed over an area of 12.231 Acres or 4.950 Hectares in village Maranpalli under Kalimela tahasil of Malkangiri district.","TAHASILDAR  KALIMELA","WithdrawEC","EC",NA
"2518","SIA/OR/MIN/275680/2022","275680/752-MINB2/05-2022","Dhanantara Stone Quarry over an area of 2.500 acres or 1.012 hectares bearing Khata no. 592, Plot no. 456 in village Dhanantara, Tahasil- Sheragada, District- Ganjam State Odisha.","NIRANJAN JENA","EC Granted","EC",NA
"2519","SIA/OR/MIN/59211/2016","59211/1719-NCM/10-2016","Jamdapal Sand Bed","PRADOSHH DAS","EC Granted - Processed offline","EC",NA
"2520","SIA/OR/MIN/415691/2023","","Proposal for grant of EC of Laudidarha Stone Quarry over an area 2.50 Ac or  1.011 Hc  in laudidarha village under Jharbandh Tahasil of Bargarh  District  Odisha","SITARAM BHOI","Pending at PP due to eds","EC",NA
"2521","SIA/OR/MIN/41350/2016","41350/1205-NCM/01-2016","UPERBEDA/RANGAMATIA SAND BED","RUDRA NARAYAN BARIK","EC Granted - Processed offline","EC",NA
"2522","SIA/OR/MIN/37953/2016","SEIAA/37953/1066-NCM/01-2016","Phupugam Stone Quarry Over lease area of 2.50 acres/1.008 ha located at Village- Phupugam, Tahasil- Kundra, District- Koraput.","SK ABDUL KADIR","Delisted","EC",NA
"2523","SIA/OR/MIN/243136/2021","24313/558-MINB2/02-2022","AIMAL STONE QUARRY","SAROJ  KUMAR SAHU","EC Granted","EC",NA
"2524","SIA/OR/MIN/36491/2015","36491/1118-NCM/01-2016","RAMACHANDRAPUR-BHEDISAHI JAMBHIRA RIVER SAND BED","MONOJ KUMAR GHOSH","EC Granted - Processed offline","EC",NA
"2525","SIA/OR/IND2/21907/2018","21907/148-IND2/02-2018","PRODUCTION OF 3.792 KLD MAHUA FLOWER BASED COUNTRY LIQUOR MANUFACTURE UNIT, KADOGUCHHA MAIN O S LIQUOR SHOP AT- KADOGUCHHA, MANDOSIL, DIST. BARGARH","RAM NIWAS AGRAWAL","EC Granted","EC",NA
"2526","SIA/OR/MIN/38928/2016","","Kushabhadra river sand mine","ECOLOGICAL DEVELOPMENT CONSULTANCY PVT LTD","Delisted","EC",NA
"2527","SIA/OR/MIS/254500/2022","254500/73-MIS/02-2022","Residential & Commercial project located at Mouza- Nayapalli & Madhusudan Nagar, District-Khurda, Bhubaneswar, Odisha by M/s LA Developers.","L A DEVELOPERS","EC Granted","EC",NA
"2528","SIA/OR/MIN/254564/2022","254564/224-MINB2/02-2022","Proposal for Grant of Environmental Clearance of Kirtipur Stone Quarry over an Area of 4.08 Acres or 1.651 Hects. in village Kirtipur under Sonepur Tahasil of Subarnapur District","TAHASILDAR  SONEPUR","EC Granted","EC",NA
"2529","SIA/OR/MIN/238684/2021","238684/124-MINB2/12-2021","Proposal for Fresh EC of Uskalbag Sand bed over an area of 12.355 Acres or 5.00 Hectares in village Uskalbag under Tahasil Motu of Malkangiri district, Odisha","PREMCHAND GUPTA","EC Granted","EC",NA
"2530","SIA/OR/MIN/76418/2020","76418/661-MINB1/04-2022","For the grant of EC of Rahadpur Black Stone quarry No-04 (Cluster Serial No-7/1), (Khata No-235, Plot No-1(p)) over an area of 5.00 acres or 2.023 hacters in village Rahadpur under Dharmasala Tahasil of Jajpur District, Odisha.","SARAT SAHOO","EC Granted","EC",NA
"2531","SIA/OR/MIN/71718/2020","71718/194-MINB1/02-2022","Kathajodi River at village Brahmapur under Sadar Cuttack Tahasil of Cuttack District, Odisha, over an area of 5.26Ha or 13.00Acres","RAJENDRA SINGH","EC Granted","EC",NA
"2532","SIA/OR/MIS/230146/2021","230146/65-MIS/12-2021","“ROYAL HERITAGE” Residential Appartment Building Project (S+6) Near Shailashree Palace, Gate No.1 , Palace Line, Koshal Chowk, Bolangir, Odisha","RADHESHYAM SANJAY KUMAR AND SONS","EC Granted","EC",NA
"2533","SIA/OR/MIN/237288/2021","237288/59-MINB2/11-2021","Badakamar Sand Quarry located in village Badakamar, over an area of 5.15 Acres/ 2.084Ha. (Khata No-246 and Plot No.-982) under Parjang Tahasil of district Dhenkanal, Odisha.","TAHSILDAR, PARJANG","EC Granted","EC",NA
"2534","SIA/OR/MIN/235901/2021","235901/38-MINB2/10-2021","Kathabaunsili Stone Quarry -ll over an area of 3.40 Acres / 1.376 Hectares in village - Kathabaunsuli in Keonjhar Tahasil, Keonjhar District, Odisha","OFICE OF THE TAHASILDAR, KEONJHAR","EC Granted","EC",NA
"2535","SIA/OR/MIN/266749/2022","266749/632-MINB1/04-2022","For the grant of EC of Bichhakhandi Black Stone quarry No-19 (Cluster Serial No-4B/7), (Khata No-389, Plot No-1826) over an area of 4.00 acres or 1.618 hacters in village Bichhakhandi under Dharmasala Tahasil of Jajpur District, Odisha.","TAHASILDAR DHARMASALA (ON BEHALF OF SUCCESSFUL BIDDER)","EC Granted","EC",NA
"2536","SIA/OR/MIN/258201/2022","","Baradiha Murrum Quarry Over an area of 1.96 Acre or 0.793 Hectares in village Baradiha under Jaleswar Tahasil of Balasore District of Odisha.","MANOJ BALABANTARAY","Delisted","EC",NA
"2537","SIA/OR/MIS/108776/2019","108776/29-MIS/09-2020","Expansion of Falcon Crest, Multistoried Residential complex at Mouza -Sampur, Bhubaneswar, Odisha","FALCON REAL ESTATE PVT LTD","EC Granted","EC",NA
"2538","SIA/OR/MIN/28878/2018","28878/17-MINB1/01-2020","Ghatapada Garnet Mines over an area of 30.683 Ha in vill. Ghatapada, Tahasil: Kesinga, Dist- Kalahandi, Odisha of Sri Om Prakash Jain","SRI OMPRAKASH JAIN","EC Granted","EC",NA
"2539","SIA/OR/MIS/236603/2021","","Diamond City,Cuttack","M/S EASTERN ESTATES  CONSTRUCTION AND DEVELOPERS PVT LTD","Delisted","EC",NA
"2540","SIA/OR/MIN/236790/2021","","Lassa sand quarry (Khata No.-87, Plot No.-1) over an area of 7.00 acres or 2.832 hacters in village Lassa under Kuchinda Tahasil of Sambalpur District, Odisha.","LASSASANDQUARRY.KUCHINDA","WithdrawEC","EC",NA
"2541","SIA/OR/MIN/234397/2021","234397/103-MINB2/12-2021","MATHANI & PUNSITA SAND SAIRAT OVER AN AREA OF 3.08 ACRES OR 1.246 HECTARES IN VILLAGE MATHANI & PUNSITA UNDER BASTA TAHASIL OF BALASORE DISTRICT OF ODISHA.","TAHASILDAR BASTA BALASORE","EC Granted","EC",NA
"2542","SIA/OR/MIN/266546/2022","266546/630-MINB1/04-2022","For the grant of EC of Bichhakhandi Black Stone quarry No-18(Cluster Serial No-4C/9), (Khata No-389, Plot No-1815(p)) over an area of 5.00 acres or 2.023 hacters in village Bichhakhandi under Dharmasala Tahasil of Jajpur District, Odisha.","TAHASILDAR DHARMASALA (ON BEHALF OF SUCCESSFUL BIDDER)","EC Granted","EC",NA
"2543","SIA/OR/MIN/250722/2022","250722/526-MINB2/01-2022","Maghua Sand Bed Over an area of 12.35 Acres or 5.00 hectares in village Maghua under Tiring Tahasil of Mayurbhanj District of Odisha.","TAHASILDAR,TIRING","EC Granted","EC",NA
"2544","SIA/OR/MIN/250114/2022","250114/762-MINB2/05-2022","Mohanpada Stone Quarry over an area of 3.00 areas or 1.214 hectares bearing Khata no. 92, Plot no.505, in village Mohanpada,Tahasil-Koraput,District-Koraput,State Odisha","TAHASILDAR KORAPUT","EC Granted","EC",NA
"2545","SIA/OR/MIN/249854/2022","249854/434-MINB2/08-2022","Kharabhuin - I Stone Quarry over an area of 7.00 acres or 2.833 hectares bearing Khata no. 194, Plot no. 275/A in Kharabhuin village of Harabhanga Tahasil, District- Boudh State Odisha.","TAHASILDAR HARABHANGA","Rejection Letter Granted","EC",NA
"2546","SIA/OR/MIN/266181/2022","266181/623-MINB1/04-2022","For the grant of EC of Bichhakhandi Black Stone quarry No-1 (Khata No-822, Plot No-2338(p)) over an area of 5.00 acres or 2.023 hacters in village Bichhakhandi under Dharmasala Tahasil of Jajpur District, Odisha.","TAHASILDAR DHARMASALA (ON BEHALF OF SUCCESSFUL BIDDER)","WithdrawEC","EC",NA
"2547","SIA/OR/MIN/241098/2021","241098/91-MINB2/11-2021","BHIMPUR SAND BED","TAHASILDAR PURUSHOTTAMPUR","EC Granted","EC",NA
"2548","SIA/OR/MIN/241231/2021","","Chichinda Stone Quarry","RATNAKAR SAHOO","Delisted","EC",NA
"2549","SIA/OR/MIN/288727/2022","","Kanchandumuria Sand Bed over an area of 2.680 Acre or 1.085 Hectares in village Kanchandumuria under Jhumpura Tahasil of Keonjhar District of Odisha.","NIRMAL OJHA","WithdrawEC","EC",NA
"2550","SIA/OR/MIN/250545/2022","","Ambagaon-C Stone Quarry over an area of 1.50 Acers or 0.607 Ha having Khata No. 103, Plot No. 363 in the village Ambagaon, Tahasil- Koraput, District- Koraput, State Odisha","TAHASILDAR KORAPUT","Pending at PP due to eds","EC",NA
"2551","SIA/OR/MIN/245606/2021","245606/305-MINB2/06-2022","Lunguri Stone Quarry over an area of 2.00 Acers or 0.809 Ha having Khata No.118, Plot No. 60 in the village Lunguri, Tahasil Semiliguda in district Koraput, State Odisha.","TAHASILDAR SEMILIGUDA","EC Granted","EC",NA
"2552","SIA/OR/MIN/75351/2022","75351/651-MINB1/04-2022","grant of EC of Bichhakhandi Black Stone quarry No-16(Cluster SerialNo-4C/12), (Khata No-389, Plot No-1815) over an area of 18.88 acres or 7.64ha in village Aruha under Dharmasala Tahasil of Jajpur District,Odisha","SARAT JENA","WithdrawEC","EC",NA
"2553","SIA/OR/MIN/58858/2020","","","NEERAJ AGRAWAL","Delisted","EC",NA
"2554","SIA/OR/MIS/124181/2019","124181/12-MIS/11-2019","M/s Sri Krishna Estate Construction Pvt Ltd's Krishna Lakshmi Arcade Residential Apartments","M/S SRI KRISHNA ESTATE CONSTRUCTION PVT LTD","EC Granted","EC",NA
"2555","SIA/OR/MIN/75729/2020","75729/286-MINB2/04-2022","For the grant of EC of Rahadpur Black Stone quarry No-3/4 (Cluster Serial No-7/10), (Khata No-235, Plot No-1(p)) over an area of 7.50 acres or 3.035 hacters in village Rahadpur under Dharmasala Tahasil of Jajpur District, Odisha.","SANDEEP CHANDAK","Deferred by SEIAA","EC",NA
"2556","SIA/OR/MIN/230537/2021","230537/79-MINB2/11-2021","NEW PROPOSAL FOR GRANT OF EC FOR HATIA NEW BUILDING STONE QUARRY(TA), 27/18 OVER 3.64HA IN VILLAGE NIJAGADA TAPANGA OF TAHASIL/DISTRICT KHORDHA BY SHRI JOGINATH BAHUBALENDRA","SHRI JOGINATH BAHUBALENDRA","EC Granted","EC",NA
"2557","SIA/OR/MIN/289854/2022","289854/802-MINB2/08-2022","NEW PROPOSAL FOR GRANT OF EC FOR ANGI DABUGAM SAND QUARRY I OVER 1.26 HA. OR 3.11 ACRES IN  VILLAGE ANGI DABUGAM UNDER DABUGAM TAHASIL OF NABARANGPUR DISTRICT ODISHA","GEEDAM NARAYANA","EC Granted","EC",NA
"2558","SIA/OR/MIS/270722/2022","270722/88-MIS/05-2022","B+S1+S2+20 STORIED RESIDENTIAL APARTMENT & G+3 CLUB HOUSE","SRI JAGANNATH PROMOTERS & BUILDERS","Rejection Letter Granted","EC",NA
"2559","SIA/OR/MIN/230963/2021","","Batasingh Sand Quarry over an area of 12.157 ac. or 4.92 ha. in village batasingh under sarang panchayat, Parjang tahasil of Dhenkanal District odisha; Bearing Khata no-214 & Plot no.-6001, kissam-Nadi.","BATASINGH SAND QUARRY","WithdrawEC","EC",NA
